Plane_Type_Text,DEPARTURES_PERFORMED
Boeing 737-700/700LR/Max 7,1130336.0
Boeing 737-800,1124625.0
Airbus Industrie A320-100/200,695638.0
Embraer ERJ-175,683466.0
Airbus Industrie A321/Lr,494315.0
Airbus Industrie A319,468186.0
Canadair CRJ 900,424182.0
Boeing 737-900ER,372256.0
Embraer-145,360322.0
Canadair RJ-700,332447.0
Canadair RJ-200ER /RJ-440,315195.0
Boeing 757-200,237463.0
McDonnell Douglas DC9 Super 80/MD81/82/83/88,230645.0
Boeing 717-200,204988.0
Embraer 190,177598.0
Boeing 767-300/300ER,168133.0
Boeing 777-200ER/200LR/233LR,111343.0
Cessna 208 Caravan,96565.0
Airbus Industrie A330-200,88251.0
Embraer-Emb-170,88220.0
De Havilland DHC8-400 Dash-8,78722.0
Boeing 777-300/300ER/333ER,73992.0
McDonnell Douglas MD-90,72668.0
Embraer-140,63197.0
B787-900 Dreamliner,50556.0
Boeing 747-400,46489.0
Boeing 737-900,46178.0
Airbus Industrie A300-600/R/CF/RCF,45660.0
Saab-Fairchild 340/B,42691.0
Cessna C-402/402A/402B,41997.0
Airbus Industrie A320-200n,40933.0
McDonnell Douglas MD-11,40622.0
Boeing 757-300,34292.0
Boeing 747-400F,33501.0
Boeing B737 Max 800,33398.0
Airbus Industrie A330-300,33075.0
B787-800 Dreamliner,31415.0
Canadair RJ-100/RJ-100ER,29381.0
Boeing 767-200/ER/EM,28787.0
De Havilland DHC8-100 Dash-8,22353.0
Beech 1900 A/B/C/D,21197.0
Boeing 767-400/ER,19838.0
Airbus Industrie A380-800,18021.0
Boeing 737-400,15054.0
McDonnell Douglas DC-10-10,14973.0
Pilatus PC-12,14235.0
Boeing B777-F,13930.0
Cessna C208B/Grand Caravan,13689.0
Boeing B747-8,13447.0
Aerospatiale/Aeritalia ATR-42,13315.0
Boeing 737-300,10863.0
Boeing 737-100/200,10546.0
"Beechcraft Beech 18 C-185 (Federal Express has waiver to report all its small aircraft under code 110, regardless of actual aircraft type)",10531.0
Airbus Industrie A321-200n,9995.0
McDonnell Douglas DC-10-30,9492.0
Airbus Industrie A350-900,9433.0
Embraer-135,8578.0
Piper PA-31 (Navajo)/T-1020,8529.0
Airbus Industrie A340-600,7751.0
Boeing B737 Max 900,5312.0
Saab 2000,4690.0
Airbus Industrie A340-300,3856.0
Bombardier CRJ 705,3790.0
Aerospatiale/Aeritalia ATR-72,3295.0
Boeing 737-600,3225.0
De Havilland DHC8-300 Dash 8,3073.0
Airbus Industrie A300B/C/F-100/200,3011.0
Convair CV-340/440,2452.0
Piper PA-32 (Cherokee 6),2324.0
Airbus Industrie A340-200,2223.0
Boeing 727-200/231A,2062.0
Raytheon Beechcraft Hawker 400XP,2054.0
Airbus Industrie A310-200C/F,1949.0
McDonnell Douglas DC-9-30,1643.0
Bombardier Learjet 75,1458.0
Cessna C206/207/209/210 Stationair,1453.0
Lockheed L100-30/L-382E,1408.0
McDonnell Douglas DC-9-15F,1389.0
